mysql> use plate;
Database changed
mysql> show tables;
+-----------------+
| Tables_in_plate |
+-----------------+
| licence_plates  |
+-----------------+
1 row in set (0.00 sec)

mysql> select * from licence_plates;
+---------+---------------+-------------------------+------------+------+
| plate   | car_brand     | car_model               | color      | year |
| WMH-436 | Infiniti      | FX                      | Mauv       | 2010 |
| XPT-438 | Dodge         | Ram 2500                | Violet     | 1994 |
| DT43-78 | Lincoln       | Continental             | Crimson    | 1993 |
| OLJ-878 | Dodge         | Ram 1500                | Puce       | 2008 |
| FOP-700 | Nissan        | 200SX                   | Maroon     | 1996 |
| KWO-395 | Cadillac      | Fleetwood               | Crimson    | 1992 |
| DT44-90 | Jeep          | Wrangler                | Goldenrod  | 1994 |
| FPR-345 | Ford          | Mustang                 | Pink       | 1990 |
| JBW-793 | Volkswagen    | Cabriolet               | Crimson    | 1996 |
| UWO-352 | Kia           | Sedona                  | Pink       | 2010 |
| WED-075 | Chevrolet     | Silverado 1500          | Yellow     | 2012 |
| UWC-821 | Dodge         | Ram 1500                | Yellow     | 2008 |
| GNB-782 | Dodge         | Aries                   | Pink       | 1981 |
| VNX-213 | Pontiac       | Grand Prix              | Khaki      | 1983 |
| LCF-210 | Chevrolet     | Camaro                  | Red        | 1981 |
| PZX-840 | Toyota        | Tacoma                  | Aquamarine | 2012 |
| XWF-234 | Chevrolet     | HHR                     | Yellow     | 2006 |
| QSQ-178 | Toyota        | 4Runner                 | Turquoise  | 1995 |
| QQW-646 | Ford          | Flex                    | Turquoise  | 2013 |
| DT43-38 | Porsche       | 924 S                   | Violet     | 1987 |
| CXA-267 | GMC           | Yukon                   | Green      | 1998 |
| RJE-927 | Dodge         | Viper                   | Turquoise  | 1993 |
| QQX-351 | Plymouth      | Grand Voyager           | Orange     | 1993 |
| SOL-398 | Chevrolet     | SSR                     | Turquoise  | 2006 |
| WUL-758 | Jaguar        | X-Type                  | Indigo     | 2006 |
| ZQF-681 | Chrysler      | New Yorker              | Mauv       | 1994 |
| CXX-648 | Plymouth      | Volare                  | Aquamarine | 1976 |
| NBN-073 | Mitsubishi    | Raider                  | Fuscia     | 2009 |
| EIA-496 | Oldsmobile    | 88                      | Maroon     | 1994 |
| YIY-991 | Subaru        | Alcyone SVX             | Aquamarine | 1993 |
| TIBI-01 | BMW           | Z4 M                    | Red        | 2006 |
+---------+---------------+-------------------------+------------+------+
101 rows in set (0.00 sec)

mysql> exit;
Bye
